C19005|COVID - Консультація
7 (94)|ІНШІ ГІНЕКОЛОГІЧНІ ПРОЦЕДУРИ
700|Ендартеректомія
7 (95)|КИСТЬ РУКИ, ЗАП'ЯСТЯ
7 (96)|ПЕЧІНКА
7 (97)|РЕНТГЕНОСКОПІЯ
7 (98)|СЕРЦЕ — ЛЕГЕНЕВИЙ КЛАПАН
8 (100)|ПРИДАТКОВИЙ АПАРАТ ОКА — ЕКСТРАОКУЛЯРНІ М'ЯЗИ
8 (101)|РАДІОІЗОТОПНА ДІАГНОСТИКА
8 (102)|СЕРЦЕ — МІОКАРД
8 (103)|ТАЗ, КУЛЬШОВИЙ СУГЛОБ
8 (99)|ЖОВЧНИЙ МІХУР І ЖОВЧОВИВІДНІ ШЛЯХИ
9 (104)|КОЛІННИЙ СУГЛОБ, ГОМІЛКА
9 (105)|МАГНІТНО-РЕЗОНАНСНА ТОМОГРАФІЯ [МРТ]
9 (106)|ПІДШЛУНКОВА ЗАЛОЗА
9 (107)|ПРИДАТКОВИЙ АПАРАТ ОКА — ОЧНА ЯМКА
9 (108)|СЕРЦЕ — ПЕРИКАРД
LAB101|Альбумін/креатинін, сеча
LAB102|Амілаза
LAB103|B12
LAB104|С-реактивний білок
LAB105|Кальцій, фосфат, магній
LAB106|Кардіоензими
LAB107|Біохімія; інше
LAB108|Аналіз на сліди наркотичних препаратів
LAB109|Електроліти, сечовина, креатинін
LAB110|Феритин
LAB111|Фолієва кислота
LAB112|Глюкоза/толерантність до глюкози
LAB113|HbA1c
LAB114|Аналіз гормонів
LAB115|Непероносимість лактози
LAB116|Ліпіди
LAB117|Функція печінки
LAB118|Мульти-біохімічний аналіз
LAB119|Простат-специфічний антиген
LAB120|Функція щитовидної залози
LAB121|Урат/сечова кислота
LAB123|Вітамін D
LAB201|Цитологія
LAB202|ПАП-тест
LAB301|Групування крові
LAB302|Кров; інше
LAB303|Коагуляція
LAB304|ШОЕ
LAB305|Загальний аналіз крові
LAB401|Гістологія; шкіра
LAB402|Гістологія; інше
LAB501|Антинуклеарні антитіла
309|Міринготомія
LAB502|Антитіла до циклічного цитрулінового пептиду
LAB503|Імунологія; інше
LAB504|РАСТ
LAB505|Ревматоїдний фатор
LAB506|Безплідність/вагітність
LAB601|Антитіла
LAB602|Цервікальний мазок
LAB603|Хламідія
LAB604|Мазок з вуха, культура, чутливість
LAB605|Кал, мікроскопія, культура, чутливість
LAB606|Посів на гриби і чутливості до антимікотичних препаратів
LAB607|Серологічні маркери гепатиту
LAB608|ВІЛ
LAB609|Хелікобактер пілорі
LAB610|Мікробіологія; інше
LAB611|Дослідження на наявність гетерофільних антитіл
LAB612|Мазок з носа, культура і чутливість
LAB613|Коклюш
LAB614|Гарячка Росс Рівер
LAB615|Краснуха
LAB616|Мазок зі шкіри, культура і чутливість
LAB617|Мокротиння, культура і чутливість
LAB618|Мазок із зіву, культура і чутливість
LAB619|Сеча, мікробіологія, культура і чутливість
LAB620|Мазок з піхви, мікробіологія, культура і чутливість
LAB621|Венеричне захворювання
LAB622|Прості тести
LAB701|Аналіз крові
LAB703|Загальний аналіз сечі
LAB704|Аналіз калу
LAB705|Інші тести НКІ
1|Обстеження черепа, оболонок мозку або головного мозку
2|Пункція черепа
113|Паратиреоїдектомія
3|Введення внутрішньочерепних пристроїв для спинномозкової рідини
4|Видалення внутрішньочерепних пристроїв для спинномозкової рідини
5|Промивання, встановлення або видалення внутрішньочерепного шунта для спинномозкової рідини
6|Інші аплікації, процедури введення або видалення, що стосуються черепа, оболонок мозку та головного мозку
7|Діагностичний розріз головного мозку або його оболонок
8|Внутрішньочерепний дренаж
9|Внутрішньочерепна декомпресія
51|Дискектомія при рецидивуючому ураженні диска
10|Післяопераційне повторне відкриття місця краніотомії або краніектомії
11|Деструкція внутрішньочерепної аневризми або іншого ураження судин
12|Біопсія головного мозку або його оболонок
13|Висічення ураженої ділянки черепа
14|Видалення внутрішньочерепної гематоми або абсцесу
15|Видалення внутрішньочерепного ураження
16|Інше внутрішньочерепне висічення
17|Хірургічна операція на основі черепа у зв'язку з ураженням
19|Вентрикулостомія
20|Відновлення твердої мозкової оболонки
21|Екстра-інтракраніальне шунтування
22|Інше відновлення головного мозку або його оболонок
23|Краніопластика
24|Ревізія внутрішньочерепного шунта для спинномозкової рідини
25|Процедури, пов'язані з переломом черепа
27|Функціональна внутрішньочерепна стереотаксична процедура
28|Інші процедури на черепі, головному мозку та його оболонках
29|Обстеження структур хребтового каналу та спинного мозку
30|Люмбальна пункція
31|Аплікації, процедури введення та видалення стосовно хребця або міжхребцевого диска
32|Епідуральна ін'єкція
33|Епідуральна інфузія
34|Каудальна ін'єкція
35|Каудальна інфузія
36|Спінальна ін'єкція
37|Спінальна інфузія
38|Спінальна кров'яна латка
39|Введення спінального катетера, інфузійного пристрою або помпи
40|Видалення спінального катетера, інфузійного пристрою або помпи
41|Встановлення та видалення дренажу спинномозкової рідини
42|Встановлення та видалення шунта спинномозкової рідини
43|Введення, заміна або видалення епідуральних електродів
45|Кордотомія або мієлотомія
46|Декомпресія шийного відділу спинного мозку
47|Декомпресія грудного або попереково-грудного відділу спинного мозку
48|Декомпресія поперекового відділу спинного мозку
162|Відновлення наскрізної рани очного яблука
49|Інші процедури розрізів на спинномозковому каналі та структурах спинного мозку
50|Біопсія спинного мозку або його оболонок
53|Видалення ураження спинного мозку
54|Інші процедури висічення на структурах хребтового каналу або спинного мозку
55|Відновлення структур хребтового каналу або спинного мозку
56|Процедури ревізії структур хребтового каналу або спинного мозку
58|Функціональна спінальна стереотаксична процедура
59|Інші процедури на структурах хребтового каналу та спинного мозку
60|Введення знеболювального засобу в ділянці черепного нерва
61|Введення нейролітичного засобу в черепний нерв
U40002|Цистоскопія
62|Введення засобу в задні первинні гілки спинномозкового нерва
63|Введення знеболювального засобу в ділянці іншого периферичного нерва
64|Введення нейролітичного засобу в інший периферичний нерв
65|Введення лікувального засобу в ділянці симпатичної нервової системи
66|Введення нейролітичного засобу в симпатичну нервову систему
67|Встановлення, заміна або видалення електродів для стимуляції периферичних нервів
68|Діагностична операція на плечовому сплетенні
69|Розріз оболонок зорового нерва
70|Тригемінальна гангліотомія
71|Перкутанна нейротомія первинних задніх гілок спинномозкового нерва
72|Перкутанна нейротомія іншого периферичного нерва
73|Розділення внутрішньочерепного нерва
74|Розділення периферичного нерва
75|Декомпресія внутрішньочерепного нерва
76|Вивільнення карпального та тарзального каналу
390|Процедури розрізу язика
77|Інший нейроліз периферичного нерва та нервового стовбура
78|Деструкція нерва
79|Біопсія нерва
80|Видалення ураженої ділянки нерва
81|Хірургічна симпатектомія
82|Інша нейректомія
83|Відновлення нерва або нервового стовбура
84|Вторинне відновлення нерва або нервового стовбура
85|Повторна операція у зв'язку з попередньою симпатектомією
86|Інші процедури на нервах
110|Аплікації та процедури введення, видалення на щитоподібній та паращитоподібних залозах
111|Процедури розрізання щитоподібної залози
112|Біопсія паращитоподібної або щитоподібної залози
114|Тиреоїдектомія
116|Інші процедури висічення на щитоподібній чи паращитоподібній залозі
117|Інші процедури на щитоподібній чи паращитоподібній залозі
118|Біопсія надниркової залози
119|Адреналектомія
121|Інші процедури на наднирковій залозі
122|Процедури висічення шишкоподібної залози
123|Інші процедури на шишкоподібній залозі
124|Біопсія мозкового придатку
125|Інша процедура висічення мозкового придатку
126|Інші процедури на мозковому придатку
127|Біопсія тимусу
128|Видалення тимусу
129|Інші процедури на тимусі
160|Процедури обстеження очного яблука
161|Процедури видалення очного яблука
163|Інші відновлювальні процедури на очному яблуці
164|Вторинні процедури після видалення очного яблука
165|Інші процедури на очному яблуці
166|Процедури аплікації, введення або видалення на рогівці
167|Процедури розрізу рогівки
168|Процедури деструкції на рогівці
169|Біопсія рогівки
170|Кератотомія
171|Висічення ураженої ділянки лімбу
172|Інші процедури висічення на рогівці
173|Кератопластика
174|Інші відновлювальні процедури на рогівці
175|Повторна операція на рогівці
176|Інші процедури на рогівці
177|Процедури аплікації, введення та видалення на склері
178|Процедури розрізу склери
179|Процедури деструкції на склері
181|Інші процедури висічення на склері
182|Процедури відновлення склери
183|Процедури ревізії склери
184|Інші процедури на склері
185|Процедури аплікації, введення або видалення на райдужці, циліарному (війковому) тілі та передній камері
186|Розділення синехій
187|Інші процедури розрізу райдужки, циліарного (війкового) тіла та передньої камери
188|Процедури деструкції на райдужці, циліарному (війковому) тілі та передній камері ока
189|Процедури деструкції на райдужці, циліарному (війковому) тілі та передній камері ока
190|Процедури відновлення райдужки, циліарного (війкового) тіла та передньої камери ока
191|Процедури при глаукомі
192|Інші процедури на райдужці, циліарному (війковому) тілі та передній камері ока
193|Імплантація інтраокулярної лінзи
194|Заміна або видалення інтраокулярної лінзи
200|Екстракція кришталика ока
203|Інші процедури на кришталику
204|Аспірація водянистого або склоподібного тіла
205|Інші процедури аплікації, введення та видалення водянистого або склоподібного тіла
206|Процедури деструкції водянистого або склоподібного тіла
207|Вітректомія
208|Інші процедури на склоподібному тілі
236|Інші процедури відновлення повіки
209|Процедури аплікації, введення та видалення на сітківці, судинній оболонці та задній камері ока
210|Процедури розрізання сітківки, судинної оболонки та задньої камери
211|Процедури деструкції сітківки, судинної оболонки та задньої камери
212|Відновлення відшарування сітківки
213|Процедури ревізії сітківки, судинної оболонки та задньої камери ока
214|Інші процедури на сітківці, судинній оболонці та задній камері ока
215|Процедури висічення на екстраокулярному м'зяі
216|Процедури при косоокості
217|Інше відновлення екстраокулярних м'язів
218|Процедури ревізії на екстраокулярному м'язі
219|Процедури повторної операції на екстраокулярному м'язі
220|Інші процедури на екстраокулярному м'язі або сухожилку
307|Процедури обстеження зовнішнього вуха
221|Процедури аплікації, введення або виведення на очній ямці
222|Орбітотомія
223|Інші процедури розрізу на очній ямці
224|Орбітотомія з біопсією або висіченням
225|Екзентерація очної ямки
226|Інші процедури висічення очної ямки
227|Орбітотомія з видаленням та заміною кістки
228|Інші відновлювальні процедури на очній ямці
229|Інші процедури на очній ямці
303|Процедури висічення на зовнішньому вусі
230|Процедури аплікації, введення або виведення на повіці
231|Процедури розрізання повіки
232|Біопсія повіки
233|Інші процедури висічення повіки
234|Трансплантація на повіку
235|Кантопластика
237|Процедури реконструкції повіки
238|Процедури корекції трихіазу
239|Процедури лікування ектропіона або ентропіона
240|Інші процедури на повіці
241|Зондування сльозних проток
242|Введення, заміна або видалення носо-сльозної трубки
243|Інші процедури аплікації, введення або видалення на сльозному апараті
244|Процедури розрізу на сльозному апараті
245|Процедури деструкції на сльозному апараті
246|Процедури висічення на сльозному апараті
247|Процедури відновлення на сльозному апараті
248|Процедури повторної операції на сльозних протоках
249|Процедури для визначення прохідності сльозних проток
250|Інші процедури на сльозному апараті
251|Процедури аплікації, введення та видалення на кон'юнктиві
252|Процедури розрізу на кон'юнктиві
253|Процедури деструкції на кон'юнктиві
254|Процедури висічення на кон'юнктиві
255|Процедури для відновлення кон'юнктиви
256|Інші процедури на кон'юнктиві
300|Процедури обстеження зовнішнього вуха
301|Процедури аплікації, введення та видалення на зовнішньому вусі
302|Процедури розрізання слухового каналу
304|Процедури відновлення зовнішнього вуха
305|Процедури відновлення зовнішнього вуха
306|Інші процедури на зовнішньому вусі
308|Аплікація, процедури введення та видалення на барабанній перетинці або середньому вусі
310|Інші процедури розрізу на барабанній перетинці та середньому вусі
311|Процедури деструкції на барабанній перетинці та середньому вусі
312|Процедури висічення на барабанній перетинці та середньому вусі
313|Мірингопластика
314|Інші процедури для відновлення барабанної перетинки та середнього вуха
315|Процедури реконструкції барабанної перетинки та середнього вуха
316|Інші процедури на барабанній перетинці та середньому вусі
317|Процедури висічення на слухових кісточках
318|Процедури відновлення слухових кісточок
319|Процедури реконструкції слухових кісточок
320|Інші процедури на слухових кісточках
321|Аплікація, процедури введення та видалення на соскоподібному відростку та скроневій кістці
322|Процедури розрізу на соскоподібному відростку та скроневій кістці
323|Мастоїдектомія
324|Інші процедури висічення на соскоподібному відростку та скроневій кістці
325|Процедури відновлення соскоподібного відростку та скроневої кістки
326|Процедури реконструкції соскоподібного відростка та скроневої кістки
327|Процедури ревізії на соскоподібному відростку та скроневій кістці
328|Інші процедури на соскоподібному відростку та скроневій кістці
329|Аплікація, процедури введення та видалення на внутрішньому вусі
330|Процедури розрізу на внутрішньому вусі
331|Процедури висічення на внутрішньому вусі
332|Процедури відновлення внутрішнього вуха
333|Інші процедури на внутрішньому вусі
370|Процедури обстеження носа
371|Аплікація, процедури введення або видалення на носі
372|Процедури розрізу на носі
373|Зупинка носової кровотечі
374|Інші процедури деструкції на носі
375|Біопсія носової порожнини
376|Процедури висічення на носових раковинах
377|Видалення інтраназального ураження
378|Інші процедури висічення носі
379|Відновлення носової перегородки
380|Інші відновлювальні процедури на носі
381|Інші процедури на носі
382|Аплікація, процедури введення або видалення на придаткових пазухах
383|Процедури розрізу на придаткових пазухах носа
384|Біопсія придаткових пазух носа
385|Інтраназальне видалення поліпу з придаткових пазух носа
386|Інші процедури висічення на придаткових пазухах носа
387|Максилярна антростомія
388|Інші відновлювальні процедури на придаткових пазухах носа
389|Інші процедури на придаткових пазухах носа
391|Процедури деструкції язика
392|Процедури висічення на язику
393|Відновлювальні процедури на язику
394|Інші процедури на язику
395|Процедури розрізу слинної залози або слинної протоки
396|Процедури деструкції слинної залозі або протоки
397|Процедури висічення слинної залози або протоки
398|Відновлювальні процедури на слинній залозі або протоці
399|Інші процедури на слинній залозі або протоці
400|Аплікація, процедури введення або видалення на роті, піднебінні або
401|Процедури розрізу рота, піднебіння або піднебінного язичка
402|Біопсія ротової порожнини або м'якого піднебіння
403|Висічення ураженої ділянки рота або піднебіння
404|Інші процедури висічення на роті, піднебінні або піднебінному язичку
405|Увулопалатофарингопластика
406|Інші відновлювальні процедури на роті, піднебінні або піднебінному
407|Ревізійні процедури на роті, піднебінні або піднебінному язичку
408|Інші процедури на роті, піднебінні або піднебінному язичку
409|Процедури розрізу піднебінних мигдаликів або аденоїдів
410|Процедури деструкції піднебінних мигдаликів або аденоїдів
411|Біопсія піднебінних мигдаликів або аденоїдів
412|Тонзилектомія або аденоїдектомія
413|Інші процедури висічення на піднебінних мигдаликах або аденоїдах
414|Інші відновлювальні процедури на піднебінних мигдаликах або аденоїдах
415|Інші процедури на піднебінних мигдаликах або аденоїдах
416|Процедури обстеження глотки
417|Аплікація, процедури введення або видалення на глотці
418|Процедури розрізу глотки
419|Процедури деструкції на глотці
420|Фарингектомія
421|Інші процедури висічення на глотці
422|Інші процедури на глотці
520|Процедури з обстеження гортані
521|Процедури на гортані, пов'язані з аплікацією, введенням або видаленням
522|Процедури, пов'язані з розрізом гортані
523|Ларингоскопія з висіченням
524|Ларингектомія
525|Інші процедури на гортані, пов'язані з висіченням
526|Ларингопластика
527|Ларингофісура
528|Інші відновлювальні процедури на гортані
529|Процедури з реконструкції гортані
530|Повторні операції на гортані
531|Інші процедури на гортані
532|Процедури з обстеження трахеї
533|Процедури на трахеї, пов'язані з аплікацією, введенням або видаленням
534|Процедури на трахеї, пов'язані з висіченням
535|Крикотиреостомія
536|Трахеостомія
537|Резекція ендотрахеального ураження з відновленням
538|Резекція ендотрахеальної стриктури з відновленням
539|Інші відновлювальні процедури на трахеї
540|Процедури з реконструкції трахеї
541|Ревізійні процедури на трахеї
542|Інші процедури на трахеї
543|Процедури з обстеження бронхів
544|Ендоскопічна біопсія, бронхоальвеолярний лаваж або видалення стороннього тіла з бронхів
545|Інші процедури на бронхах, пов'язані з висіченням
546|Відновлювальні процедури на бронхах
547|Інші процедури на бронхах
548|Процедури на легені або плеврі, пов'язані з аплікацією, введенням або видаленням
549|Процедури, пов'язані з розрізом легені або плеври
550|Біопсія легені або плеври
551|Часткова резекція легені
552|Лобектомія легені
553|Пневмонектомія
554|Інші процедури на легені або плеврі, пов'язані з висіченням
555|Трансплантація легені
556|Інші відновлювальні процедури на легені або плеврі
557|Ревізійні процедури на легені або плеврі
558|Інші процедури на легені або плеврі
559|Процедури обстеження грудної стінки, середостіння або діафрагми
560|Процедури на грудній стінці, середостінні або діафрагмі, пов'язані з аплікацією, введенням або видаленням
561|Процедури, пов'язані з розрізом грудної стінки, середостіння або діафрагми
562|Процедури на грудній стінці, середостінні або діафрагмі, пов'язані з деструкцією
563|Процедури на грудній стінці, середостінні або діафрагмі, пов'язані з висіченням
564|Корекція при клиноподібній або лійкоподібній деформації грудної клітки
565|Торакопластика
566|Інші відновлювальні процедури на грудній стінці, середостінні або діафрагмі
567|Інші процедури на грудній стінці, середостінні або діафрагмі
568|Відновлення прохідності дихальних шляхів
569|Допоміжна штучна вентиляція легені
570|Неінвазивна штучна вентиляція легені
571|Комбінована допоміжна штучна вентиляція легені
572|Екстракорпоральна допоміжна штучна вентиляція легені
600|Процедури, пов'язані з розрізом передсердя
601|Процедури на передсерді, пов'язані з деструкцією
602|Процедури на передсерді, пов'язані з висіченням
603|Відновлювальні процедури на передсерді
604|Процедури з реконструкції передсердя
605|Ревізійні процедури на передсерді
606|Інші процедури на передсерді
607|Процедури з обстеження шлуночка
608|Процедури на шлуночку, пов'язані з аплікацією, введенням або видаленням
609|Процедури на шлуночку, пов'язані з деструкцією
610|Вентрикулярна міектомія
611|Висічення аневризми шлуночка серця
612|Інші процедури на шлуночку, пов'язані з висіченням
613|Операції для створення перегородок або кондуїтів
614|Інші відновлювальні процедури на шлуночку
615|Інші процедури на шлуночку
616|Процедури на перегородці, пов'язані з висіченням
617|Усунення дефекту міжпередсердної перегородки
618|Усунення дефекту міжшлуночкової перегородки
619|Інші відновлювальні процедури на перегородці
620|Інші процедури на перегородці
621|Процедури, пов'язані з розрізом аортального клапана
622|Відновлення аортального клапана
623|Заміна аортального клапана
624|Інші процедури на аортальному клапані
625|Процедури, пов'язані з розрізом мітрального клапана
626|Відновлення мітрального клапана
627|Анулопластика мітрального клапана
628|Заміна мітрального клапана
1984|Дослідження кісток
629|Процедури з реконструкції мітрального клапана
630|Інші процедури на мітральному клапані
631|Процедури, пов'язані з розрізом трикуспідального клапана
632|Відновлення трикуспідального клапана
633|Анулопластика трикуспідального клапана
634|Заміна трикуспідального клапана
635|Інші процедури на трикуспідальному клапані
636|Процедури, пов'язані з розрізом легеневого клапана
637|Відновлення або заміна легеневого клапана
638|Інші процедури на легеневому клапані
639|Процедури, пов'язані з розрізом міокарда
640|Процедури на міокарді, пов'язані з висіченням
641|Відновлювальні процедури на міокарді
643|Дренаж серця
644|Інші процедури, пов'язані з розрізом перикарда
645|Біопсія перикарда
646|Інші процедури на перикарді, пов'язані з висіченням
647|Введення тимчасового трансвенозного електрода
648|Введення постійного трансвенозного електрода кардіостимулятора або
649|Введення іншого електрода або пластини кардіостимулятора або
650|Введення генератора кардіостимулятора
653|Введення генератора кардіодефібрилятора
654|Налаштування, заміна або видалення електрода кардіостимулятора
655|Налаштування, заміна або видалення генератора кардіостимулятора
656|Налаштування, заміна або видалення генератора кардіодефібрилятора
657|Інші процедури на серці, пов'язані з аплікацією, введенням або видаленням, іншої локалізації
659|Видалення серця або легені донора
660|Трансплантація серця або легені
661|Інші відновлювальні процедури на серці іншої локалізації
662|Процедури з реконструкції на серці іншої локалізації
663|Ревізійні процедури на серці іншої локалізації
664|Процедури на серці іншої локалізації, що пов'язані з повторною операцією
665|Електрофізіологічне дослідження [ЕФД]
666|Інші процедури на іншій локалізації серця
D40004|Колоноскопія
667|Катетеризація серця
668|Коронароангіографія
669|Процедури на коронарних артеріях, пов'язані з висіченням
670|Транслюмінальна коронарна ангіопластика
671|Транслюмінальна коронарна ангіопластика зі стентуванням
672|Аорто-коронарне шунтування – з використанням трансплантата з великої
673|Аорто-коронарне шунтування - з використанням трансплантата з інших
674|Аорто-коронарне шунтування - з використанням трансплантата з лівої
675|Аорто-коронарне шунтування - з використанням трансплантата з правої
676|Аорто-коронарне шунтування — з використанням трансплантата з
677|Аорто-коронарне шунтування — з використанням трансплантата з
678|Аорто-коронарне шунтування - з використанням трансплантата з інших
679|Аорто-коронарне шунтування – інший трансплантат
680|Процедури на коронарних артеріях, пов'язані з повторною операцією
681|Інші процедури на коронарних артеріях
862|Дилатація стравоходу
682|Процедури на аорті, пов'язані з аплікацією, введенням або видаленням
684|Відновлення висхідного відділу грудної аорти
685|Відновлення аортальної дуги та висхідного відділу грудної аорти
686|Відновлення низхiдного відділу грудної аорти
687|Протезування висхідного відділу грудної аорти
688|Протезування аортальної дуги та висхідної ділянки грудної аорти
689|Протезування низхiдного відділу грудної аорти
690|Закриття відкритої артеріальної протоки
691|Закриття колатеральних судин серця
693|Відновлювальні процедури на аорті
694|Артеріальна катетеризація
695|Діагностичний розріз артерії
696|Інші процедури, пов'язані з розрізом артерій
697|Переривання кровотоку в артерії
698|Інші процедури на артеріях, пов'язані з деструкцією
699|Біопсія периферичної артерії
701|Ендартеректомія для підготовки ділянки для накладення анастомозу
702|Артеріальна емболектомія або тромбектомія
703|Емболектомія або тромбектомія шунта-трансплантата артерії
704|Артеріальна атеректомія
705|Резекція ураженої ділянки сонної артерії
706|Резекція рецидивуючого ураження сонної артерії
707|Трансплантат-латка артерії
708|Пряме закриття артерії
709|Відновлення артерії шляхом анастомозу
710|Відновлення артерії шляхом інтерпозиції трансплантата
711|Артеріальне шунтування з використанням венозних трансплантатів
712|Артеріальне шунтування з використанням синтетичних матеріалів
713|Артеріальне шунтування з використанням композитних, секвенційних або перехресних шунтів-трансплантатів
714|Відновлення при аневризмі шиї, внутрішньочеревної області або кінцівок
715|Протезування при аневризмі з використанням трансплантатів
716|Закриття аорто-тонкокишкового свища [нориці]
717|Відновлювальні процедури на легеневій артерії при вродженій ваді серця
718|Інші відновлювальні процедури на артеріях
720|Інші процедури на артеріях
721|Встановлення зовнішнього стента в вену
722|Ін'єкції у варикозні вени
723|Інші процедури на венах, пов'язані з аплікацією, введенням або видаленням
724|Діагностичний розріз вени
725|Інші процедури, пов'язані з розрізом вен
726|Переривання кровотоку у вені
727|Роз'єднання варикозних вен нижніх кінцівок
728|Інші процедури на венах, пов'язані з деструкцією
729|Венозна тромбектомія
730|Забір вени
731|Трансплантат-латка для усунення дефекту вени
732|Пряме закриття вени
733|Відновлення вен шляхом анастомозу
734|Відновлення вени шляхом інтерпозиції трансплантата
735|Венозне шунтування з використанням венозних або синтетичних матеріалів
736|Інші відновлювальні процедури на венах
737|Процедури на венах, пов'язані з повторною операцією
738|Венозна катетеризація
739|Інші процедури на венах
740|Процедури з обстеження судин іншої локалізації
741|Катетеризація периферичних артерій або вен
742|Інші процедури на судинах іншої локалізації, пов'язані з аплікацією, введенням або видаленням
743|Деструкція судинних уражень
744|Лазерна фотокоагуляція уражень судин шкіри
745|Переривання кровотоку в судинах, що живлять артеріовенозний свищ [норицю]
746|Інші процедури на судинах, пов'язані з деструкцією
747|Біопсія кровоносних судин
748|Висічення судинних аномалій
750|Висічення артеріовенозного свища [нориці] шиї
751|Висічення артеріовенозного свища [нориці] кінцівки
752|Висічення артеріовенозного свища [нориці] черевної порожнини
753|Інші операції на судинах іншої локалізації, пов'язані з висіченням
754|Транслюмінальна балонна ангіопластика
